Categoria: Todas as categorias

Semana,Relações internacionais: (Brasil)
2016-03-13,47
2016-03-20,47
2016-03-27,52
2016-04-03,44
2016-04-10,47
2016-04-17,36
2016-04-24,47
2016-05-01,37
2016-05-08,68
2016-05-15,54
2016-05-22,38
2016-05-29,56
2016-06-05,58
2016-06-12,33
2016-06-19,52
2016-06-26,38
2016-07-03,52
2016-07-10,42
2016-07-17,40
2016-07-24,35
2016-07-31,31
2016-08-07,31
2016-08-14,36
2016-08-21,53
2016-08-28,39
2016-09-04,44
2016-09-11,54
2016-09-18,41
2016-09-25,37
2016-10-02,53
2016-10-09,43
2016-10-16,49
2016-10-23,51
2016-10-30,43
2016-11-06,57
2016-11-13,31
2016-11-20,49
2016-11-27,45
2016-12-04,36
2016-12-11,40
2016-12-18,23
2016-12-25,25
2017-01-01,37
2017-01-08,51
2017-01-15,70
2017-01-22,94
2017-01-29,77
2017-02-05,85
2017-02-12,71
2017-02-19,58
2017-02-26,55
2017-03-05,71
2017-03-12,52
2017-03-19,50
2017-03-26,71
2017-04-02,71
2017-04-09,45
2017-04-16,58
2017-04-23,52
2017-04-30,45
2017-05-07,51
2017-05-14,52
2017-05-21,46
2017-05-28,53
2017-06-04,67
2017-06-11,44
2017-06-18,42
2017-06-25,35
2017-07-02,34
2017-07-09,36
2017-07-16,33
2017-07-23,51
2017-07-30,52
2017-08-06,44
2017-08-13,54
2017-08-20,51
2017-08-27,34
2017-09-03,43
2017-09-10,41
2017-09-17,58
2017-09-24,58
2017-10-01,44
2017-10-08,33
2017-10-15,47
2017-10-22,43
2017-10-29,35
2017-11-05,57
2017-11-12,36
2017-11-19,39
2017-11-26,49
2017-12-03,33
2017-12-10,34
2017-12-17,32
2017-12-24,31
2017-12-31,37
2018-01-07,42
2018-01-14,60
2018-01-21,75
2018-01-28,65
2018-02-04,62
2018-02-11,60
2018-02-18,82
2018-02-25,55
2018-03-04,58
2018-03-11,54
2018-03-18,45
2018-03-25,54
2018-04-01,54
2018-04-08,42
2018-04-15,64
2018-04-22,44
2018-04-29,49
2018-05-06,43
2018-05-13,43
2018-05-20,54
2018-05-27,47
2018-06-03,55
2018-06-10,52
2018-06-17,53
2018-06-24,48
2018-07-01,36
2018-07-08,40
2018-07-15,45
2018-07-22,37
2018-07-29,42
2018-08-05,55
2018-08-12,48
2018-08-19,42
2018-08-26,48
2018-09-02,45
2018-09-09,38
2018-09-16,61
2018-09-23,41
2018-09-30,49
2018-10-07,37
2018-10-14,58
2018-10-21,38
2018-10-28,54
2018-11-04,61
2018-11-11,71
2018-11-18,47
2018-11-25,53
2018-12-02,58
2018-12-09,47
2018-12-16,30
2018-12-23,27
2018-12-30,67
2019-01-06,60
2019-01-13,71
2019-01-20,100
2019-01-27,69
2019-02-03,39
2019-02-10,44
2019-02-17,57
2019-02-24,41
2019-03-03,49
2019-03-10,47
2019-03-17,48
2019-03-24,61
2019-03-31,54
2019-04-07,48
2019-04-14,50
2019-04-21,43
2019-04-28,44
2019-05-05,44
2019-05-12,51
2019-05-19,57
2019-05-26,43
2019-06-02,57
2019-06-09,41
2019-06-16,34
2019-06-23,50
2019-06-30,43
2019-07-07,37
2019-07-14,34
2019-07-21,41
2019-07-28,50
2019-08-04,45
2019-08-11,39
2019-08-18,48
2019-08-25,57
2019-09-01,41
2019-09-08,45
2019-09-15,55
2019-09-22,52
2019-09-29,43
2019-10-06,45
2019-10-13,44
2019-10-20,39
2019-10-27,55
2019-11-03,49
2019-11-10,39
2019-11-17,36
2019-11-24,32
2019-12-01,28
2019-12-08,32
2019-12-15,55
2019-12-22,28
2019-12-29,26
2020-01-05,73
2020-01-12,66
2020-01-19,77
2020-01-26,63
2020-02-02,48
2020-02-09,60
2020-02-16,60
2020-02-23,40
2020-03-01,62
2020-03-08,52
2020-03-15,43
2020-03-22,36
2020-03-29,38
2020-04-05,38
2020-04-12,42
2020-04-19,50
2020-04-26,37
2020-05-03,31
2020-05-10,41
2020-05-17,53
2020-05-24,38
2020-05-31,30
2020-06-07,38
2020-06-14,37
2020-06-21,40
2020-06-28,41
2020-07-05,36
2020-07-12,29
2020-07-19,22
2020-07-26,40
2020-08-02,29
2020-08-09,45
2020-08-16,37
2020-08-23,33
2020-08-30,37
2020-09-06,35
2020-09-13,42
2020-09-20,36
2020-09-27,30
2020-10-04,28
2020-10-11,34
2020-10-18,46
2020-10-25,41
2020-11-01,33
2020-11-08,39
2020-11-15,31
2020-11-22,36
2020-11-29,28
2020-12-06,35
2020-12-13,31
2020-12-20,31
2020-12-27,29
2021-01-03,57
2021-01-10,44
2021-01-17,45
2021-01-24,44
2021-01-31,47
2021-02-07,30
2021-02-14,40
2021-02-21,40
2021-02-28,47
2021-03-07,48
