,ano,estado,classe,valor,quant
0,1995,RIO DE JANEIRO,Cédulas - 1a. família,50.00,3
1,1995,RIO DE JANEIRO,Cédulas - 1a. família,100.00,1
2,1995,SÃO PAULO,Cédulas - 1a. família,100.00,1
3,1996,DISTRITO FEDERAL,Cédulas - 1a. família,50.00,1
4,1996,DISTRITO FEDERAL,Cédulas - 1a. família,100.00,1
5,1996,MINAS GERAIS,Cédulas - 1a. família,50.00,4
6,1996,MINAS GERAIS,Cédulas - 1a. família,100.00,1
7,1996,PARANÁ,Cédulas - 1a. família,50.00,4
8,1996,PARANÁ,Cédulas - 1a. família,100.00,12
9,1996,PERNAMBUCO,Cédulas - 1a. família,50.00,2
10,1996,PERNAMBUCO,Cédulas - 1a. família,100.00,1
11,1996,RIO DE JANEIRO,Cédulas - 1a. família,5.00,2
12,1996,RIO DE JANEIRO,Cédulas - 1a. família,10.00,6.087
13,1996,RIO DE JANEIRO,Cédulas - 1a. família,50.00,7.988
14,1996,RIO DE JANEIRO,Cédulas - 1a. família,100.00,2.311
15,1996,RIO GRANDE DO SUL,Cédulas - 1a. família,10.00,1
16,1996,RIO GRANDE DO SUL,Cédulas - 1a. família,50.00,2
17,1996,RIO GRANDE DO SUL,Cédulas - 1a. família,100.00,2
18,1996,RONDÔNIA,Cédulas - 1a. família,100.00,2
19,1997,AMAPÁ,Cédulas - 1a. família,100.00,1
20,1997,BAHIA,Cédulas - 1a. família,5.00,2
21,1997,BAHIA,Cédulas - 1a. família,10.00,49
22,1997,BAHIA,Cédulas - 1a. família,50.00,14
23,1997,BAHIA,Cédulas - 1a. família,100.00,27
24,1997,CEARÁ,Cédulas - 1a. família,10.00,20
25,1997,CEARÁ,Cédulas - 1a. família,50.00,28
26,1997,CEARÁ,Cédulas - 1a. família,100.00,1
27,1997,DISTRITO FEDERAL,Cédulas - 1a. família,10.00,19
28,1997,DISTRITO FEDERAL,Cédulas - 1a. família,50.00,22
29,1997,DISTRITO FEDERAL,Cédulas - 1a. família,100.00,12
30,1997,GOIÁS,Cédulas - 1a. família,10.00,4
31,1997,GOIÁS,Cédulas - 1a. família,50.00,1
32,1997,MATO GROSSO DO SUL,Cédulas - 1a. família,50.00,8
33,1997,MINAS GERAIS,Cédulas - 1a. família,50.00,35
34,1997,MINAS GERAIS,Cédulas - 1a. família,100.00,58
35,1997,PARANÁ,Cédulas - 1a. família,50.00,4
36,1997,PARANÁ,Cédulas - 1a. família,100.00,1
37,1997,PERNAMBUCO,Cédulas - 1a. família,50.00,8
38,1997,PERNAMBUCO,Cédulas - 1a. família,100.00,4
39,1997,RIO DE JANEIRO,Cédulas - 1a. família,5.00,180
40,1997,RIO DE JANEIRO,Cédulas - 1a. família,10.00,16
41,1997,RIO DE JANEIRO,Cédulas - 1a. família,50.00,33
42,1997,RIO DE JANEIRO,Cédulas - 1a. família,100.00,73
43,1997,RIO GRANDE DO SUL,Cédulas - 1a. família,100.00,1
44,1997,RONDÔNIA,Cédulas - 1a. família,100.00,1
45,1997,SÃO PAULO,Cédulas - 1a. família,50.00,1
46,1997,TOCANTINS,Cédulas - 1a. família,100.00,1
47,1998,AMAPÁ,Cédulas - 1a. família,50.00,79
48,1998,AMAZONAS,Cédulas - 1a. família,5.00,13
49,1998,AMAZONAS,Cédulas - 1a. família,10.00,1
50,1998,AMAZONAS,Cédulas - 1a. família,50.00,364
51,1998,AMAZONAS,Cédulas - 1a. família,100.00,3
52,1998,CEARÁ,Cédulas - 1a. família,5.00,5
53,1998,CEARÁ,Cédulas - 1a. família,10.00,26
54,1998,CEARÁ,Cédulas - 1a. família,50.00,69
55,1998,CEARÁ,Cédulas - 1a. família,100.00,49
56,1998,DISTRITO FEDERAL,Cédulas - 1a. família,100.00,1
57,1998,ESPÍRITO SANTO,Cédulas - 1a. família,10.00,918
58,1998,ESPÍRITO SANTO,Cédulas - 1a. família,50.00,55
59,1998,GOIÁS,Cédulas - 1a. família,10.00,83
60,1998,GOIÁS,Cédulas - 1a. família,100.00,1
61,1998,MATO GROSSO,Cédulas - 1a. família,10.00,1
62,1998,MATO GROSSO,Cédulas - 1a. família,50.00,6
63,1998,MINAS GERAIS,Cédulas - 1a. família,10.00,42
64,1998,MINAS GERAIS,Cédulas - 1a. família,50.00,22
65,1998,MINAS GERAIS,Cédulas - 1a. família,100.00,7
66,1998,PARÁ,Cédulas - 1a. família,50.00,1
67,1998,PARANÁ,Cédulas - 1a. família,10.00,475
68,1998,PARANÁ,Cédulas - 1a. família,50.00,338
69,1998,PARANÁ,Cédulas - 1a. família,100.00,3
70,1998,PERNAMBUCO,Cédulas - 1a. família,10.00,689
71,1998,PERNAMBUCO,Cédulas - 1a. família,50.00,3
72,1998,PERNAMBUCO,Cédulas - 1a. família,100.00,1
73,1998,PIAUÍ,Cédulas - 1a. família,50.00,6
74,1998,PIAUÍ,Cédulas - 1a. família,100.00,1
75,1998,RIO DE JANEIRO,Cédulas - 1a. família,5.00,13
76,1998,RIO DE JANEIRO,Cédulas - 1a. família,10.00,223
77,1998,RIO DE JANEIRO,Cédulas - 1a. família,50.00,220
78,1998,RIO DE JANEIRO,Cédulas - 1a. família,100.00,627
79,1998,RIO GRANDE DO NORTE,Cédulas - 1a. família,10.00,3
80,1998,RIO GRANDE DO SUL,Cédulas - 1a. família,50.00,3
81,1998,RIO GRANDE DO SUL,Cédulas - 1a. família,100.00,3
82,1998,RONDÔNIA,Cédulas - 1a. família,50.00,6
83,1998,RONDÔNIA,Cédulas - 1a. família,100.00,4
84,1998,SANTA CATARINA,Cédulas - 1a. família,5.00,32
85,1998,SANTA CATARINA,Cédulas - 1a. família,10.00,1.016
86,1998,SANTA CATARINA,Cédulas - 1a. família,50.00,791
87,1998,SANTA CATARINA,Cédulas - 1a. família,100.00,347
88,1998,SÃO PAULO,Cédulas - 1a. família,5.00,9
89,1998,SÃO PAULO,Cédulas - 1a. família,10.00,35
90,1998,SÃO PAULO,Cédulas - 1a. família,50.00,207
91,1998,SÃO PAULO,Cédulas - 1a. família,100.00,56
92,1998,TOCANTINS,Cédulas - 1a. família,50.00,11
93,1998,TOCANTINS,Cédulas - 1a. família,100.00,6
94,1999,ACRE,Cédulas - 1a. família,10.00,10
95,1999,ACRE,Cédulas - 1a. família,50.00,49
96,1999,ACRE,Cédulas - 1a. família,100.00,2
97,1999,ALAGOAS,Cédulas - 1a. família,5.00,11
98,1999,ALAGOAS,Cédulas - 1a. família,10.00,67
99,1999,ALAGOAS,Cédulas - 1a. família,50.00,105
100,1999,ALAGOAS,Cédulas - 1a. família,100.00,3
101,1999,AMAPÁ,Cédulas - 1a. família,10.00,46
102,1999,AMAPÁ,Cédulas - 1a. família,50.00,5
103,1999,AMAZONAS,Cédulas - 1a. família,5.00,5
104,1999,AMAZONAS,Cédulas - 1a. família,10.00,41
105,1999,AMAZONAS,Cédulas - 1a. família,50.00,136
106,1999,AMAZONAS,Cédulas - 1a. família,100.00,121
107,1999,BAHIA,Cédulas - 1a. família,5.00,83
108,1999,BAHIA,Cédulas - 1a. família,10.00,570
109,1999,BAHIA,Cédulas - 1a. família,50.00,164
110,1999,BAHIA,Cédulas - 1a. família,100.00,8
111,1999,CEARÁ,Cédulas - 1a. família,5.00,45
112,1999,CEARÁ,Cédulas - 1a. família,10.00,90
113,1999,CEARÁ,Cédulas - 1a. família,50.00,136
114,1999,CEARÁ,Cédulas - 1a. família,100.00,9
115,1999,DISTRITO FEDERAL,Cédulas - 1a. família,5.00,68
116,1999,DISTRITO FEDERAL,Cédulas - 1a. família,10.00,113
117,1999,DISTRITO FEDERAL,Cédulas - 1a. família,50.00,4.505
118,1999,DISTRITO FEDERAL,Cédulas - 1a. família,100.00,827
119,1999,ESPÍRITO SANTO,Cédulas - 1a. família,5.00,18
120,1999,ESPÍRITO SANTO,Cédulas - 1a. família,10.00,252
121,1999,ESPÍRITO SANTO,Cédulas - 1a. família,50.00,582
122,1999,ESPÍRITO SANTO,Cédulas - 1a. família,100.00,9
123,1999,GOIÁS,Cédulas - 1a. família,5.00,59
124,1999,GOIÁS,Cédulas - 1a. família,10.00,532
125,1999,GOIÁS,Cédulas - 1a. família,50.00,212
126,1999,GOIÁS,Cédulas - 1a. família,100.00,11
127,1999,MARANHÃO,Cédulas - 1a. família,5.00,4
128,1999,MARANHÃO,Cédulas - 1a. família,10.00,63
