Date,Open,High,Low,Close,Volume
15/06/2012 16:00:00,"14,22","14,37","14,03","14,35",1645374
18/06/2012 16:00:00,"14,11","14,3","14,01","14,14",840268
19/06/2012 16:00:00,"14,3","14,66","14,1","14,31",1078922
20/06/2012 16:00:00,"14,29","14,39","13,92","14,14",1154742
21/06/2012 16:00:00,"14,15","14,21","13,23","13,31",1563689
22/06/2012 16:00:00,"13,5","13,9","13,32","13,8",1936686
25/06/2012 16:00:00,"13,5","13,6","13,18","13,51",727649
26/06/2012 16:00:00,"13,58","13,96","13,54","13,77",890008
27/06/2012 16:00:00,"13,85","14,59","13,84","14,44",2021196
28/06/2012 16:00:00,"14,31","14,81","14,23","14,57",1274016
29/06/2012 16:00:00,"14,99","15,39","14,87","15,3",1374228
02/07/2012 16:00:00,"15,3","15,45","14,71","15,22",993045
03/07/2012 16:00:00,"15,38","16,18","15,38","16,06",476662
05/07/2012 16:00:00,"16,03","16,17","15,57","15,95",980837
06/07/2012 16:00:00,"15,67","16,1","15,55","15,76",723236
09/07/2012 16:00:00,"15,78","15,97","15,55","15,74",656380
10/07/2012 16:00:00,"15,9","16,02","14,79","14,98",927172
11/07/2012 16:00:00,"15,1","15,42","14,96","15,13",691173
12/07/2012 16:00:00,"14,9","14,9","14,49","14,72",827034
13/07/2012 16:00:00,"14,82","15,24","14,76","15,19",319106
16/07/2012 16:00:00,"15,17","15,61","14,97","15,45",464893
17/07/2012 16:00:00,"15,57","15,85","15,1","15,77",453685
18/07/2012 16:00:00,"15,73","16,48","15,56","16,11",902095
19/07/2012 16:00:00,"16,31","16,77","16,2","16,73",648711
20/07/2012 16:00:00,"16,55","16,98","16,46","16,76",728246
23/07/2012 16:00:00,"16,26","16,43","15,97","16,16",403479
24/07/2012 16:00:00,"16,16","16,26","15,27","15,47",513832
25/07/2012 16:00:00,"15,56","15,83","14,83","15,15",765695
26/07/2012 16:00:00,"15,56","15,72","15,21","15,56",431967
27/07/2012 16:00:00,"15,72","16,61","15,39","16,47",538910
30/07/2012 16:00:00,"16,47","16,81","16,23","16,46",474261
31/07/2012 16:00:00,"17,5","19,29","17,14","18,49",2096965
01/08/2012 16:00:00,"18,7","18,75","17,56","17,58",941185
02/08/2012 16:00:00,"17,32","17,39","15,67","15,79",1583494
03/08/2012 16:00:00,"16,33","17,02","16,18","16,75",702361
06/08/2012 16:00:00,"16,7","17,25","16,48","16,85",934117
07/08/2012 16:00:00,"17,07","18,18","17,02","17,39",1121013
08/08/2012 16:00:00,"17,3","17,76","17,22","17,54",601656
09/08/2012 16:00:00,"17,44","17,93","17,26","17,77",333117
10/08/2012 16:00:00,"17,57","17,8","17,37","17,79",392266
13/08/2012 16:00:00,"17,78","17,85","17,18","17,56",493241
14/08/2012 16:00:00,"17,74","18,01","17,68","17,92",543274
15/08/2012 16:00:00,"17,8","17,86","17,32","17,37",1019367
16/08/2012 16:00:00,"17,49","18,35","17,46","18,2",859753
17/08/2012 16:00:00,"18,31","18,55","18,02","18,48",669834
20/08/2012 16:00:00,"18,33","18,33","17,76","18,08",377579
21/08/2012 16:00:00,"18,27","18,48","18,04","18,15",290700
22/08/2012 16:00:00,"18,15","18,38","17,82","18,27",415486
23/08/2012 16:00:00,"18,26","18,31","17,68","17,69",324833
24/08/2012 16:00:00,"17,62","17,92","17,41","17,77",334173
27/08/2012 16:00:00,"17,83","17,9","17,5","17,65",241120
28/08/2012 16:00:00,"17,64","17,97","17,52","17,82",503694
29/08/2012 16:00:00,"17,95","18,05","17,58","17,93",596658
30/08/2012 16:00:00,"17,79","17,79","17,19","17,3",499291
31/08/2012 16:00:00,"17,55","17,67","16,71","17,26",610677
04/09/2012 16:00:00,"17,29","17,75","17,12","17,61",589391
05/09/2012 16:00:00,"17,67","17,96","17,58","17,78",861888
06/09/2012 16:00:00,"17,92","18,75","17,87","18,45",493135
07/09/2012 16:00:00,"18,65","19,03","18,57","19,01",653437
10/09/2012 16:00:00,"19,11","19,41","18,89","18,94",556574
11/09/2012 16:00:00,"19,05","19,56","18,89","19,51",474956
12/09/2012 16:00:00,"19,82","19,95","19,36","19,71",396489
13/09/2012 16:00:00,"19,87","20,55","19,46","20,37",599286
14/09/2012 16:00:00,"20,7","21,36","20,55","21,01",904622
17/09/2012 16:00:00,"20,88","20,96","20,3","20,57",350166
18/09/2012 16:00:00,"20,47","20,47","19,64","20,09",462127
19/09/2012 16:00:00,"20,36","20,79","19,17","19,38",1064065
