,edad,m_moroso,ciudad_agg,niv_educ_dummy,gender_M,e_civil_CAS,e_civil_VIU,seguro_SI,LN_d_marzo,LN_d_junio,LN_d_julio,LN_d_agosto,LN_d_septiembre,LN_monto,fuga_dummy
0,39,2,4.0,0,1,1,0,0,0.0,12.981624357844685,7.4770384723196965,9.117237753713859,5.831882477283517,14.508658238524095,0
1,49,1,3.0,0,0,0,1,1,0.0,0.0,3.8918202981106265,0.0,0.0,15.830413711839864,0
2,39,1,4.0,0,1,1,0,0,0.0,0.0,5.780743515792329,10.184522582266116,7.98139158158007,15.894952224644102,0
3,36,1,3.0,1,0,1,0,0,0.0,12.201055078568375,4.553876891600541,0.0,4.663439094112067,14.77102238760702,0
4,44,1,3.0,0,1,1,0,0,0.0,11.211279685501061,5.0106352940962555,0.0,5.60947179518496,15.671808704579888,0
5,40,2,3.0,0,1,1,0,0,0.0,9.393411647660683,6.464588303689961,4.77912349311153,5.043425116919247,15.856731016694035,1
6,45,1,3.0,1,1,1,0,0,13.235665276638303,0.0,7.289610521451167,9.65509029374725,7.329093736246592,14.88022163978423,1
7,41,1,3.0,0,0,0,0,1,0.0,13.171774301243556,2.6390573296152584,0.0,6.169610732491456,14.557448378884015,0
8,33,1,1.0,0,0,1,0,0,0.0,0.0,3.8066624897703196,0.0,0.0,14.285514812209815,0
9,39,1,3.0,0,0,0,1,0,0.0,13.007843262627024,6.763884908562435,0.0,6.811244378601294,14.845130332288226,0
10,46,1,3.0,0,0,1,0,0,14.084330860374846,13.205022965749233,9.169934957341145,0.0,7.520776415062797,15.123843647884687,0
11,37,1,3.0,0,0,1,0,0,0.0,0.0,3.713572066704308,0.0,0.0,14.45736497045232,0
12,48,1,3.0,1,1,1,0,0,12.311900052177437,0.0,6.393590753950631,0.0,0.0,14.45736497045232,1
13,43,1,3.0,1,1,1,0,0,0.0,11.84664391339482,5.327876168789581,6.003887067106539,6.320768294250582,15.38412668421143,1
