Date,Open,High,Low,Close,Volume
15/06/2012 16:56:00,"54,8","55,29","54,42","55,29",3151680
19/06/2012 16:56:00,"55,85","56,73","55,4","56,4",3759910
20/06/2012 16:56:00,"56,4","56,76","55,65","56,36",5550260
21/06/2012 16:56:00,"56,36","56,86","54,6","54,71",2050680
22/06/2012 16:56:00,"54,91","55,17","54,25","54,6",1805320
25/06/2012 16:56:00,"53,72","53,72","52,9","53,01",1457150
26/06/2012 16:56:00,"53,49","54,2","52,55",53,1336320
27/06/2012 16:56:00,"52,7","52,95","52,21","52,28",1895450
28/06/2012 16:56:00,"52,13","52,49","51,45","51,93",1626120
29/06/2012 16:56:00,"53,39","53,5","52,95","53,42",1127340
02/07/2012 16:56:00,"53,39","53,86","52,97","53,86",1136780
03/07/2012 16:56:00,"53,99","55,34","53,88",55,1007320
05/07/2012 16:56:00,"55,4",56,"54,86","55,56",2048100
06/07/2012 16:56:00,"54,8","55,05","54,03","54,59",1105640
10/07/2012 16:56:00,"54,61","54,68","52,72","52,75",1452400
11/07/2012 16:56:00,"52,92","53,45","52,31","52,6",1275170
12/07/2012 16:56:00,"52,27","52,73","51,62","52,55",911300
13/07/2012 16:56:00,53,"53,55","52,83","53,55",824090
17/07/2012 16:56:00,"52,94","53,18","52,2","53,05",1715730
18/07/2012 16:56:00,"52,5","53,7","52,5","53,69",846500
19/07/2012 16:56:00,"53,94","54,61","53,72","54,4",2087480
20/07/2012 16:56:00,"53,7","54,05","53,17","53,17",1317010
23/07/2012 16:56:00,"52,08","52,28","51,31","52,24",1850610
24/07/2012 16:56:00,"52,11","52,5","51,5","51,85",1487060
25/07/2012 16:56:00,"52,4","52,4","51,43","51,69",2329940
26/07/2012 16:56:00,"52,13","53,28","51,94","53,12",1620290
27/07/2012 16:56:00,"53,53","56,15","53,43","55,65",3365560
30/07/2012 16:56:00,"55,32","56,45","55,19","56,45",1470350
31/07/2012 16:56:00,"56,5","56,56","55,1","55,1",1674870
01/08/2012 16:56:00,"56,17","56,17","54,5","55,48",2485210
02/08/2012 16:56:00,"54,9","55,38","54,29","54,6",1791640
03/08/2012 16:56:00,"55,7","56,43","55,7","56,37",1958110
06/08/2012 16:56:00,"56,1",58,"55,89","57,37",1925250
10/08/2012 16:56:00,"57,8","58,2","57,07","57,83",1650000
14/08/2012 16:56:00,"57,98","58,13","56,9","57,12",1716940
15/08/2012 16:56:00,"57,37","57,37","56,66","57,24",1634930
16/08/2012 16:56:00,"57,94","58,56","57,38","58,35",2317760
17/08/2012 16:56:00,"58,63","58,8","57,93","58,17",1345050
20/08/2012 16:56:00,"58,07","58,48","57,62","58,3",1182950
21/08/2012 16:56:00,"58,8","59,23","57,66",58,1651450
22/08/2012 16:56:00,"57,55","58,61","57,42","58,45",2694490
23/08/2012 16:56:00,"57,81","59,19","57,15","57,51",2139370
24/08/2012 16:56:00,"57,18","57,83","56,86","57,42",1781030
27/08/2012 16:56:00,"57,42","57,43","56,86","57,18",1201020
28/08/2012 16:56:00,"57,1","57,73",57,"57,4",971270
29/08/2012 16:56:00,"57,6","57,6","56,09","56,3",1741160
30/08/2012 16:56:00,"56,09","56,65","55,92","56,17",1278890
31/08/2012 16:56:00,"56,75","57,2","55,55","56,15",2612080
03/09/2012 16:56:00,"56,4","57,2","55,55","56,23",654640
05/09/2012 16:56:00,"55,7","57,2","55,43","55,86",1137590
06/09/2012 16:56:00,56,"57,35","56,12","57,3",1823590
10/09/2012 16:56:00,"58,23","58,4","57,31","57,33",1030150
11/09/2012 16:56:00,"57,34","58,5","57,34","58,37",1879490
12/09/2012 16:56:00,"58,62","58,97","58,13","58,97",1445300
13/09/2012 16:56:00,"58,75","61,05","58,57","60,85",3955220
14/09/2012 16:56:00,61,"62,32","60,72","61,17",2969530
17/09/2012 16:56:00,61,"61,63","60,42","60,72",1608010
18/09/2012 16:56:00,"60,8","61,05","60,41","60,72",1256160
19/09/2012 16:56:00,"60,91","61,41","60,42","60,48",1482050
20/09/2012 16:56:00,"60,3","60,94","59,87","60,65",1484490
21/09/2012 16:56:00,"61,04","61,13","60,3","60,39",1064220
24/09/2012 16:56:00,"60,49","60,84","59,86","60,78",760360
25/09/2012 16:56:00,"60,9","60,9","59,27","59,4",2171750
26/09/2012 16:56:00,"59,11","59,5","58,65","59,4",2646190
27/09/2012 16:56:00,"59,51","59,78","58,79","59,02",1227660
28/09/2012 16:56:00,"58,69","58,71","57,8","58,15",1864030
01/10/2012 16:56:00,"58,25","59,14","58,24","58,5",1560590
02/10/2012 16:56:00,59,59,58,"58,15",1228790
03/10/2012 16:56:00,"58,3","58,38","57,46","57,55",767270
04/10/2012 16:56:00,"57,87","57,98","57,04","57,25",1511240
05/10/2012 16:56:00,"57,81","58,4","57,35","57,47",1238800
08/10/2012 16:56:00,"57,25","58,25",57,"58,24",1551250
09/10/2012 16:56:00,"58,35","58,64","57,61",58,1533320
10/10/2012 16:56:00,"58,23","58,32","57,33","57,33",1270960
