Date,Open,High,Low,Close,Volume
15/06/2012 16:56:00,"50,01","50,27",49,"50,21",307770
19/06/2012 16:56:00,"50,76","51,79","50,6","51,69",198900
20/06/2012 16:56:00,"51,68","51,69","50,2","51,5",155510
21/06/2012 16:56:00,"50,6","51,21","50,07","50,07",83580
22/06/2012 16:56:00,"50,24","50,3","49,55","49,92",13170
25/06/2012 16:56:00,"49,01","49,4",47,"48,9",6660
26/06/2012 16:56:00,49,"49,42","48,8","49,34",20510
27/06/2012 16:56:00,"49,3","49,58",49,"49,24",77030
28/06/2012 16:56:00,49,"49,15","48,01","48,01",8350
29/06/2012 16:56:00,49,"50,5",49,"50,5",29110
02/07/2012 16:56:00,"50,05","50,3","49,76","50,3",7470
03/07/2012 16:56:00,"50,22","51,2",50,"51,19",51690
05/07/2012 16:56:00,"51,45","51,74","50,5","51,6",82250
06/07/2012 16:56:00,"51,02","51,03","50,41",51,11580
10/07/2012 16:56:00,51,51,"49,76","49,76",7190
11/07/2012 16:56:00,"49,5","50,02","49,43","49,63",4990
12/07/2012 16:56:00,"49,63","49,63","48,91","49,32",11440
13/07/2012 16:56:00,"48,95",50,"48,95",50,2470
17/07/2012 16:56:00,"49,45","49,8","49,25","49,8",5360
18/07/2012 16:56:00,"49,8","50,5","49,43","50,5",12960
19/07/2012 16:56:00,"50,01","50,99",50,"50,99",287240
20/07/2012 16:56:00,"50,31","50,5","50,02","50,5",9030
23/07/2012 16:56:00,"49,05","50,4","48,46","50,4",11950
24/07/2012 16:56:00,"49,4","49,51","48,74","49,5",6840
25/07/2012 16:56:00,"49,2","49,4","48,77","49,4",4000
26/07/2012 16:56:00,"49,42","50,39","49,22","50,39",9680
27/07/2012 16:56:00,"50,49","52,29","50,49","52,1",120020
30/07/2012 16:56:00,"51,61","52,5","51,61","52,5",81020
31/07/2012 16:56:00,52,"52,58","51,64","51,69",50880
01/08/2012 16:56:00,"51,55","52,02","51,11","51,95",43960
02/08/2012 16:56:00,"51,2","51,67","50,82","51,3",10390
03/08/2012 16:56:00,52,"52,5",52,"52,5",35370
06/08/2012 16:56:00,"52,3","53,47","52,3","53,2",84520
10/08/2012 16:56:00,53,"53,35","52,66","53,25",39370
14/08/2012 16:56:00,"52,3","53,08","52,45","52,89",163010
15/08/2012 16:56:00,"52,15","52,8","52,15","52,8",36080
16/08/2012 16:56:00,53,"53,5","52,57","53,5",88740
17/08/2012 16:56:00,"52,11","53,45","52,9","53,1",46130
20/08/2012 16:56:00,"53,06","53,1","52,6","52,99",14260
21/08/2012 16:56:00,"53,19","53,41","52,28","52,54",24890
22/08/2012 16:56:00,"52,38","52,9","52,1","52,8",16070
23/08/2012 16:56:00,"52,36","52,44",52,"52,4",20430
24/08/2012 16:56:00,"51,8","52,45","51,8","52,4",16950
27/08/2012 16:56:00,"52,43","52,23","51,86","52,15",7270
28/08/2012 16:56:00,"51,81","52,38","51,8","52,3",37150
29/08/2012 16:56:00,"51,01","52,04","51,01","51,2",8120
30/08/2012 16:56:00,"51,18","51,27","50,87","51,12",5240
31/08/2012 16:56:00,51,"51,5","50,81","51,14",14950
03/09/2012 16:56:00,51,"51,5","50,81","51,4",7410
05/09/2012 16:56:00,"50,5","51,5","50,7",51,7510
06/09/2012 16:56:00,"50,45","52,29","51,3","52,29",18300
10/09/2012 16:56:00,"52,5","52,93","52,13","52,16",17790
11/09/2012 16:56:00,"52,45","52,73","52,34","52,7",15810
12/09/2012 16:56:00,"51,6","52,9","52,32","52,9",16460
13/09/2012 16:56:00,"52,58",54,"52,47","53,8",52020
14/09/2012 16:56:00,"53,75","54,81","53,61",54,67620
17/09/2012 16:56:00,"53,1","54,6","52,01","54,31",72720
18/09/2012 16:56:00,"54,02","54,25","53,63","54,02",19020
19/09/2012 16:56:00,54,"54,5",54,"54,15",17110
20/09/2012 16:56:00,"53,99","53,98","53,38","53,98",10750
21/09/2012 16:56:00,54,"54,25","53,1","53,1",21160
24/09/2012 16:56:00,"53,66","54,1","52,1","54,1",9490
25/09/2012 16:56:00,54,54,52,52,8610
26/09/2012 16:56:00,"51,78","52,42","51,41","52,42",7980
27/09/2012 16:56:00,"52,47","52,52","52,01","52,3",4180
28/09/2012 16:56:00,"51,51","51,68","51,15","51,5",6800
01/10/2012 16:56:00,"51,71","52,2","51,71","51,92",4670
02/10/2012 16:56:00,"52,24","52,47","51,52","51,52",5330
03/10/2012 16:56:00,"51,74","51,74","51,24","51,25",16750
04/10/2012 16:56:00,"51,25","51,68","51,05","51,11",5400
05/10/2012 16:56:00,"51,71","52,3","51,59","51,59",4260
08/10/2012 16:56:00,"51,58","52,22","51,58","52,21",8910
09/10/2012 16:56:00,"52,3","52,4","51,52","51,72",3170
10/10/2012 16:56:00,"51,84","51,87","51,19","51,2",3700
11/10/2012 16:56:00,"51,35","51,87","51,12","51,75",8350
15/10/2012 16:56:00,"51,75","52,1","51,53","51,97",9920
16/10/2012 16:56:00,"52,1","52,63","52,07","52,21",7620
17/10/2012 16:56:00,"52,02","52,8","52,01","52,8",9270
18/10/2012 16:56:00,"52,16","52,5","52,13","52,41",6490
19/10/2012 16:56:00,"52,43","52,45","51,76","51,91",2380
22/10/2012 16:56:00,"51,56","51,95","51,55","51,9",3610
23/10/2012 16:56:00,"50,9","51,23","50,51","50,51",6700
24/10/2012 16:56:00,"50,91",51,"50,51","50,52",8980
25/10/2012 16:56:00,"51,2","51,58","51,14","51,55",8150
26/10/2012 16:56:00,"51,15","51,15","50,7","50,7",3580
29/10/2012 16:56:00,"50,31","51,5","50,31","51,5",5090
30/10/2012 16:56:00,"51,45","51,7","51,28","51,7",6390
31/10/2012 16:56:00,"51,51","51,78","50,95","51,08",4210
01/11/2012 16:56:00,"51,35","52,9","51,35","52,9",7420
05/11/2012 16:56:00,"52,22","52,55","52,12","52,55",8280
06/11/2012 16:56:00,"52,55","53,19",52,"53,14",19970
07/11/2012 16:56:00,"52,85","52,9","52,1","52,54",8090
08/11/2012 16:56:00,"52,5","52,83","51,04","51,3",6260
09/11/2012 16:56:00,"51,3","51,84","51,05","51,75",195420
12/11/2012 16:56:00,"51,81","51,83","51,43","51,6",24630
13/11/2012 16:56:00,"51,26","52,2","51,23","52,2",10930
14/11/2012 16:56:00,"51,9","51,9","51,26","51,61",8520
15/11/2012 16:56:00,52,52,"51,26","51,61",8520
16/11/2012 16:56:00,"50,51","51,81","50,51","51,45",5180
19/11/2012 16:56:00,"51,37","52,2","51,37","52,2",11240
21/11/2012 16:56:00,"52,2","52,65","51,61","52,65",29100
22/11/2012 16:56:00,"52,64","52,75","52,4","52,75",312700
23/11/2012 16:56:00,"52,51","53,58","52,44","53,58",30720
26/11/2012 16:56:00,"53,09","53,3","52,53","53,3",25850
27/11/2012 16:56:00,"53,1","53,23","52,5","52,67",4800
28/11/2012 16:56:00,"52,36","52,88","52,03","52,88",4100
29/11/2012 16:56:00,"53,04","53,6","52,6","53,6",19160
30/11/2012 16:56:00,"53,26","54,01","52,9","53,87",22400
03/12/2012 16:56:00,"54,28","54,49","53,06","54,49",26580
04/12/2012 16:56:00,"53,99","54,23","53,55","53,77",16740
05/12/2012 16:56:00,"53,36","53,95","53,36","53,83",14930
06/12/2012 16:56:00,"52,9","53,9","52,9","53,9",10270
07/12/2012 16:56:00,"52,4","54,2","52,22","54,08",22280
10/12/2012 16:56:00,"53,79","54,65","53,4","54,65",25820
11/12/2012 16:56:00,"54,65","54,99",54,"54,99",17070
12/12/2012 16:56:00,"54,46","55,02","54,1","54,97",18110
13/12/2012 16:56:00,"54,37","55,3","54,3","55,04",17450
14/12/2012 16:56:00,55,"55,15",54,54,16630
17/12/2012 16:56:00,"53,41","55,3","53,41","55,3",31410
18/12/2012 16:56:00,"54,93","55,85","54,93","55,85",31670
19/12/2012 16:56:00,"55,04","56,44","55,04","56,44",17240
20/12/2012 16:56:00,"55,91","56,4","55,59","56,4",9050
21/12/2012 16:56:00,"54,75","56,5","54,75","56,5",9940
26/12/2012 16:56:00,"55,8","56,5","55,8","56,5",7800
27/12/2012 16:56:00,"56,26","56,38","55,97","56,05",2890
28/12/2012 16:56:00,"55,39","56,5","55,39","56,5",77860
02/01/2013 16:56:00,"56,13","57,84","56,13","57,61",121940
03/01/2013 16:56:00,"57,5","58,43","57,5","58,3",17120
04/01/2013 16:56:00,"58,26","58,26","57,59","57,81",7240
07/01/2013 16:56:00,"57,36","57,89","57,21","57,32",8870
08/01/2013 16:56:00,"57,27","57,63","57,13","57,2",8290
09/01/2013 16:56:00,"57,15","57,89","56,15","57,89",23990
10/01/2013 16:56:00,"57,9",58,"57,52",58,9180
11/01/2013 16:56:00,"57,5","57,61","57,09","57,54",10300
14/01/2013 16:56:00,"57,42","57,99","57,42","57,99",8350
15/01/2013 16:56:00,"57,42","57,99","57,34","57,51",4870
16/01/2013 16:56:00,"57,06",58,"57,06",58,7810
17/01/2013 16:56:00,"57,83","58,65","57,54","58,65",17550
18/01/2013 16:56:00,"58,01","58,5","57,74","58,49",14030
21/01/2013 16:56:00,"57,81","58,42","57,73","58,42",9960
22/01/2013 16:56:00,"58,01","58,59","57,95","58,42",17100
23/01/2013 16:56:00,"58,27","58,55","58,19","58,5",13380
24/01/2013 16:56:00,"58,37","58,59","57,95","57,95",6590
28/01/2013 16:56:00,"57,68","57,72","56,62","56,88",414260
29/01/2013 16:56:00,"56,5","57,4","56,5","57,4",27810
30/01/2013 16:56:00,"56,91","56,91","56,53","56,72",7110
31/01/2013 16:56:00,"56,33","57,3","55,59","57,3",18540
01/02/2013 16:56:00,"57,33","57,6","57,16","57,5",7750
04/02/2013 16:56:00,"56,45","57,13","56,45",57,8460
05/02/2013 16:56:00,"56,26","57,5","56,26","57,08",11240
06/02/2013 16:56:00,"57,1","57,1","56,34","56,5",4280
07/02/2013 16:56:00,"56,5","56,91","55,84","56,15",9540
08/02/2013 16:56:00,"55,89","56,5","55,75","56,5",7890
13/02/2013 16:56:00,"56,8","56,8","55,11","56,4",3320
14/02/2013 16:56:00,"55,61",56,"55,57",56,4070
15/02/2013 16:56:00,"55,35","56,35","55,35","56,35",7920
18/02/2013 16:56:00,56,"56,4","55,88","56,4",5230
19/02/2013 16:56:00,"55,75","56,45","55,75","56,26",8390
20/02/2013 16:56:00,"55,9","55,9","54,75","55,35",6270
21/02/2013 16:56:00,55,"55,1","54,13","54,9",11130
22/02/2013 16:56:00,"54,95","55,4","54,7","55,4",6390
25/02/2013 16:56:00,"55,3","55,55","54,86","55,37",10820
26/02/2013 16:56:00,"54,63","55,53","54,57","55,53",11960
27/02/2013 16:56:00,"55,35","55,62","55,02","55,51",11520
28/02/2013 16:56:00,"54,02","56,23","54,02","56,11",13030
01/03/2013 16:56:00,"55,5","56,1","55,49","56,1",11780
04/03/2013 16:56:00,"54,85","55,8","54,85","55,8",9090
05/03/2013 16:56:00,56,"56,33","55,64","55,96",19210
06/03/2013 16:56:00,"56,25","56,87","55,78","56,86",15680
07/03/2013 16:56:00,"57,01","57,19","56,73","56,8",20180
08/03/2013 16:56:00,"56,02","57,26","55,76","57,26",11540
11/03/2013 16:56:00,57,"57,17","56,05","57,14",3740
12/03/2013 16:56:00,"56,91","56,91","56,53","56,53",12980
13/03/2013 16:56:00,"56,49","56,52","55,87","55,93",9400
14/03/2013 16:56:00,"56,04","56,04","55,38","55,9",5890
15/03/2013 16:56:00,"55,48","55,88","55,46","55,7",3220
18/03/2013 16:56:00,"55,3","55,73","55,16","55,72",4350
19/03/2013 16:56:00,"55,3","55,73","54,95","55,25",5290
20/03/2013 16:56:00,"54,41","55,37","54,15","55,3",11100
21/03/2013 16:56:00,"54,46","55,01","54,46","54,5",9350
22/03/2013 16:56:00,"54,5","54,86","54,18","54,61",10360
25/03/2013 16:56:00,"54,54","54,78","53,36","54,19",6670
26/03/2013 16:56:00,"54,3","54,92","53,32","54,92",6810
27/03/2013 16:56:00,"54,63","55,3","54,53","55,3",4750
28/03/2013 16:56:00,"55,29","56,01","55,29",56,7160
01/04/2013 16:56:00,"55,77","55,85",53,53,9760
02/04/2013 16:56:00,"55,77","55,85",53,"54,98",5270
03/04/2013 16:56:00,"54,52","55,5","54,52","55,5",5000
04/04/2013 16:56:00,"55,19","55,19","54,38","54,5",5380
05/04/2013 16:56:00,"53,77","54,7","53,33","54,7",11270
08/04/2013 16:56:00,"53,88","54,7","53,88","54,6",3140
09/04/2013 16:56:00,55,"55,6","54,71","55,32",6870
10/04/2013 16:56:00,"55,32","56,42","55,32","55,83",12360
11/04/2013 16:56:00,"54,98","55,72","54,98",55,41900
12/04/2013 16:56:00,"54,73","55,11",54,54,150760
15/04/2013 16:56:00,"53,71","54,3","53,41","53,45",225400
16/04/2013 16:56:00,"52,7","54,3","52,7","54,15",129910
