Date,Close
09/05/2006,41515
10/05/2006,41979
11/05/2006,41751
12/05/2006,40847
15/05/2006,40211
16/05/2006,39271
17/05/2006,39416
23/05/2006,36496
24/05/2006,36110
25/05/2006,35791
26/05/2006,37568
30/05/2006,38145
31/05/2006,36412
01/06/2006,36530
02/06/2006,37748
05/06/2006,37942
06/06/2006,36739
07/06/2006,36557
08/06/2006,35264
09/06/2006,35437
12/06/2006,35074
13/06/2006,33554
14/06/2006,32847
16/06/2006,32941
19/06/2006,34398
20/06/2006,33897
21/06/2006,33632
22/06/2006,34546
23/06/2006,34316
27/06/2006,34631
28/06/2006,34375
29/06/2006,34834
30/06/2006,36486
03/07/2006,36630
04/07/2006,37357
05/07/2006,37367
06/07/2006,36378
07/07/2006,36533
10/07/2006,36101
11/07/2006,36140
12/07/2006,36553
13/07/2006,36229
14/07/2006,35354
18/07/2006,34925
19/07/2006,35130
21/07/2006,35846
24/07/2006,35510
28/07/2006,36887
31/07/2006,37381
01/08/2006,37077
02/08/2006,36839
03/08/2006,37288
04/08/2006,37451
07/08/2006,37847
08/08/2006,37697
09/08/2006,37600
10/08/2006,37255
14/08/2006,36944
15/08/2006,36556
16/08/2006,37295
17/08/2006,37677
18/08/2006,37558
21/08/2006,37551
22/08/2006,37160
23/08/2006,36677
24/08/2006,35512
25/08/2006,35797
28/08/2006,35957
29/08/2006,36374
30/08/2006,36303
31/08/2006,36313
01/09/2006,36232
04/09/2006,37329
05/09/2006,37693
06/09/2006,37367
08/09/2006,36709
11/09/2006,35772
12/09/2006,36146
14/09/2006,36153
15/09/2006,36169
18/09/2006,36482
19/09/2006,35885
21/09/2006,35196
22/09/2006,34830
26/09/2006,34972
27/09/2006,35818
28/09/2006,36105
29/09/2006,36486
03/10/2006,36437
04/10/2006,37749
05/10/2006,37976
06/10/2006,37940
09/10/2006,38406
10/10/2006,38654
11/10/2006,38322
13/10/2006,38850
16/10/2006,39229
17/10/2006,38897
18/10/2006,38685
19/10/2006,38919
20/10/2006,38642
23/10/2006,39226
24/10/2006,39498
25/10/2006,39562
27/10/2006,39328
30/10/2006,38900
31/10/2006,39262
01/11/2006,39930
03/11/2006,40435
07/11/2006,41048
08/11/2006,41334
09/11/2006,40815
10/11/2006,40719
14/11/2006,41290
16/11/2006,41161
17/11/2006,41029
22/11/2006,41912
24/11/2006,41757
28/11/2006,41043
29/11/2006,41970
30/11/2006,41931
01/12/2006,41327
04/12/2006,42654
05/12/2006,43157
06/12/2006,43096
07/12/2006,42909
08/12/2006,42977
11/12/2006,43297
12/12/2006,43018
13/12/2006,43284
15/12/2006,43595
18/12/2006,43508
20/12/2006,43589
21/12/2006,43385
22/12/2006,43355
27/12/2006,44526
28/12/2006,44473
02/01/2007,45382
03/01/2007,44445
04/01/2007,44019
05/01/2007,42245
08/01/2007,42829
09/01/2007,42006
11/01/2007,42670
12/01/2007,43094
16/01/2007,42624
19/01/2007,43427
22/01/2007,43553
26/01/2007,44412
30/01/2007,43573
02/02/2007,44997
05/02/2007,45286
09/02/2007,44284
14/02/2007,45197
15/02/2007,45955
16/02/2007,45849
21/02/2007,46090
22/02/2007,46452
27/02/2007,46207
01/03/2007,43516
02/03/2007,42369
06/03/2007,43218
09/03/2007,43465
13/03/2007,42749
14/03/2007,43288
15/03/2007,43278
16/03/2007,42730
19/03/2007,43712
20/03/2007,44350
21/03/2007,45630
22/03/2007,45424
23/03/2007,45532
26/03/2007,45644
27/03/2007,45206
28/03/2007,44484
29/03/2007,45355
30/03/2007,45804
02/04/2007,45597
03/04/2007,46288
04/04/2007,46553
05/04/2007,46646
09/04/2007,46854
10/04/2007,47174
11/04/2007,46939
12/04/2007,47346
13/04/2007,47926
16/04/2007,48921
18/04/2007,48709
19/04/2007,48762
23/04/2007,49162
24/04/2007,49070
25/04/2007,49675
26/04/2007,49067
27/04/2007,49229
30/04/2007,48956
03/05/2007,49471
04/05/2007,50218
09/05/2007,50277
10/05/2007,50234
11/05/2007,50902
14/05/2007,50510
15/05/2007,50518
16/05/2007,51737
17/05/2007,51631
18/05/2007,52077
21/05/2007,52423
22/05/2007,52208
23/05/2007,51812
24/05/2007,50530
25/05/2007,51617
28/05/2007,52119
29/05/2007,51713
30/05/2007,52527
31/05/2007,52268
01/06/2007,53422
04/06/2007,53242
05/06/2007,53162
07/06/2007,52049
08/06/2007,52329
12/06/2007,52776
13/06/2007,52993
14/06/2007,53712
18/06/2007,54730
19/06/2007,54643
20/06/2007,54029
21/06/2007,54656
22/06/2007,54267
25/06/2007,54041
26/06/2007,53851
27/06/2007,54143
29/06/2007,54392
02/07/2007,55371
03/07/2007,55699
04/07/2007,55696
05/07/2007,55932
06/07/2007,56443
06/08/2007,53091
07/08/2007,53802
08/08/2007,55241
09/08/2007,53430
10/08/2007,52638
13/08/2007,52434
14/08/2007,50911
15/08/2007,49285
17/08/2007,48558
20/08/2007,49206
21/08/2007,49815
22/08/2007,51744
23/08/2007,51848
24/08/2007,52997
27/08/2007,53078
28/08/2007,51645
29/08/2007,52734
30/08/2007,52857
04/09/2007,54832
07/09/2007,54569
12/09/2007,53920
13/09/2007,53882
14/09/2007,54908
19/09/2007,56666
20/09/2007,57264
21/09/2007,56906
24/09/2007,58719
26/09/2007,58857
27/09/2007,59714
28/09/2007,61052
03/10/2007,62017
04/10/2007,60098
05/10/2007,60406
09/10/2007,62660
10/10/2007,63548
11/10/2007,63197
12/10/2007,62455
16/10/2007,62969
18/10/2007,63193
19/10/2007,63261
23/10/2007,61215
24/10/2007,62697
25/10/2007,62624
26/10/2007,62341
30/10/2007,65044
31/10/2007,64383
01/11/2007,65317
02/11/2007,64050
06/11/2007,62959
08/11/2007,63561
09/11/2007,64320
16/11/2007,64609
19/11/2007,62336
21/11/2007,60581
22/11/2007,60653
23/11/2007,60970
30/11/2007,63006
04/12/2007,63199
07/12/2007,65790
11/12/2007,64512
12/12/2007,64741
13/12/2007,62860
14/12/2007,62444
17/12/2007,59828
19/12/2007,61721
20/12/2007,61716
27/12/2007,63774
03/01/2008,62891
04/01/2008,61036
07/01/2008,60772
09/01/2008,62673
10/01/2008,63515
11/01/2008,61942
14/01/2008,62187
15/01/2008,59907
16/01/2008,58777
17/01/2008,57036
18/01/2008,57506
21/01/2008,53709
22/01/2008,56097
23/01/2008,54234
24/01/2008,57463
28/01/2008,58593
29/01/2008,59529
30/01/2008,60289
31/01/2008,59490
01/02/2008,61079
06/02/2008,58968
07/02/2008,58965
08/02/2008,59075
11/02/2008,60643
12/02/2008,61805
13/02/2008,62590
14/02/2008,61818
15/02/2008,61271
18/02/2008,62801
19/02/2008,62296
20/02/2008,63747
22/02/2008,64608
25/02/2008,65000
26/02/2008,65182
27/02/2008,65494
28/02/2008,65555
29/02/2008,63489
03/03/2008,64490
04/03/2008,63655
05/03/2008,64629
06/03/2008,62974
07/03/2008,61867
10/03/2008,59999
11/03/2008,62367
12/03/2008,62176
13/03/2008,62279
17/03/2008,60011
19/03/2008,58827
20/03/2008,58987
24/03/2008,59812
25/03/2008,61234
26/03/2008,61415
27/03/2008,60761
28/03/2008,60452
31/03/2008,60968
01/04/2008,62774
02/04/2008,63364
