Economy,Region,Income group,DB Year,Score-Trading across borders (DB16-20 methodology)
Brazil,Latin America & Caribbean,Upper middle income,2004,
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2004,
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2004,
Brazil,Latin America & Caribbean,Upper middle income,2005,
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2005,
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2005,
Brazil,Latin America & Caribbean,Upper middle income,2006,
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2006,
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2006,
Brazil,Latin America & Caribbean,Upper middle income,2007,
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2007,
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2007,
Brazil,Latin America & Caribbean,Upper middle income,2008,
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2008,
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2008,
Brazil,Latin America & Caribbean,Upper middle income,2009,
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2009,
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2009,
Brazil,Latin America & Caribbean,Upper middle income,2010,
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2010,
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2010,
Brazil,Latin America & Caribbean,Upper middle income,2011,
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2011,
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2011,
Brazil,Latin America & Caribbean,Upper middle income,2012,
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2012,
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2012,
Brazil,Latin America & Caribbean,Upper middle income,2013,
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2013,
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2013,
Brazil,Latin America & Caribbean,Upper middle income,2014,
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2014,
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2014,
Brazil,Latin America & Caribbean,Upper middle income,2015,"55,59041"
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2015,"55,59041"
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2015,"55,59041"
Brazil,Latin America & Caribbean,Upper middle income,2016,"57,42138"
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2016,"57,42138"
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2016,"57,42138"
Brazil,Latin America & Caribbean,Upper middle income,2017,"58,78702"
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2017,"58,78702"
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2017,"58,78702"
Brazil,Latin America & Caribbean,Upper middle income,2018,"62,9965"
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2018,"62,9965"
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2018,"62,9965"
Brazil,Latin America & Caribbean,Upper middle income,2019,"69,85197"
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2019,"69,85197"
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2019,"69,85197"
Brazil,Latin America & Caribbean,Upper middle income,2020,"69,85197"
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2020,"69,85197"
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2020,"69,85197"
